date,n_trades,total_pnl,total_volume,win_rate,avg_trade_size,fg_value,n_accounts,pnl_per_volume_bps
2024-08-29,1,0.0,9995.85,,9995.85,29.0,1,0.0
2024-08-30,6,256.464,37233.24,100.0,6205.54,34.0,4,68.88038752469568
2024-08-31,34,10.882801,107507.43000000001,92.3076923076923,3161.983235294118,29.0,3,1.0122836161184394
2024-09-01,12,137.433093,12359.68,100.0,1029.9733333333334,26.0,1,111.19470164276099
2024-09-02,2,0.0,30000.42,,15000.21,26.0,1,0.0
2024-09-04,34,1065.785132,131480.97,62.5,3867.0873529411765,27.0,2,81.06002959972079
2024-09-05,1,0.0,0.84,,0.84,29.0,1,0.0
2024-09-06,42,-1104.856765,39047.1,0.0,929.6928571428571,22.0,2,-282.9548839734577
2024-09-08,1,0.0,0.11,,0.11,29.0,1,0.0
2024-09-09,2,0.0,4014.4300000000003,,2007.2150000000001,26.0,1,0.0
2024-09-10,3,-219.729659,2547.28,0.0,849.0933333333334,33.0,2,-862.6050493074966
2024-09-11,1,0.0,0.54,,0.54,37.0,1,0.0
2024-09-14,11,0.0,1014.8000000000001,,92.25454545454546,50.0,2,0.0
2024-09-18,145,-878.684794,13633.5,0.0,94.02413793103449,45.0,1,-644.5041948142443
2024-09-19,19,0.0,1521.8700000000001,,80.09842105263158,49.0,1,0.0
2024-09-20,16,9585.03428,332873.38,88.88888888888889,20804.58625,54.0,2,287.94835681964116
2024-09-21,23,36165.56933,165648.12,100.0,7202.092173913044,54.0,1,2183.276775492532
2024-09-22,3,0.0,19999.739999999998,,6666.579999999999,52.0,1,0.0
2024-09-23,2,334.760796,40334.29,100.0,20167.145,50.0,1,82.99657586634103
2024-09-24,10,0.0,7118.63,,711.863,54.0,2,0.0
2024-09-25,9,0.0,52754.130000000005,,5861.570000000001,59.0,2,0.0
2024-09-26,8,439.812513,113711.93000000001,100.0,14213.991250000001,50.0,2,38.67778103845392
2024-09-27,56,0.0,126097.04,,2251.732857142857,61.0,2,0.0
2024-09-28,4,0.0,29199.21,,7299.8025,64.0,1,0.0
2024-09-30,106,2710.626288,214669.85,100.0,2025.1872641509435,61.0,2,126.26953845637848
2024-10-01,4,0.0,139954.32,,34988.58,50.0,1,0.0
2024-10-02,4,0.0,99954.34,,24988.585,42.0,1,0.0
2024-10-03,9,100.375782,132935.69,100.0,14770.632222222222,37.0,2,7.550702298231573
2024-10-04,1,0.0,0.34,,0.34,41.0,1,0.0
2024-10-05,37,5767.161892,605605.74,100.0,16367.722702702702,49.0,2,95.2296438273521
2024-10-06,22,130.487079,300130.56,100.0,13642.298181818182,50.0,1,4.347677190886526
2024-10-07,21,0.0,219984.65,,10475.459523809524,50.0,1,0.0
2024-10-08,36,5396.546638,434584.13,100.0,12071.781388888889,49.0,2,124.17725971723817
2024-10-09,14,396.06272,220399.93,100.0,15742.852142857142,49.0,1,17.970183565847776
2024-10-10,16,0.0,300024.33999999997,,18751.521249999998,39.0,1,0.0
2024-10-11,26,8885.327477,488904.19,100.0,18804.007307692307,32.0,2,181.73964671892054
2024-10-12,10,541.55471,159713.4,100.0,15971.34,49.0,1,33.90790691325837
2024-10-13,10,0.0,60002.42,,6000.242,50.0,1,0.0
2024-10-14,5,1913.61958,61916.020000000004,100.0,12383.204000000002,48.0,1,309.0669555310564
2024-10-15,7,1170.2260760000001,81173.36,100.0,11596.194285714286,65.0,1,144.16380891464885
2024-10-16,11,219.480876,80229.17,100.0,7293.560909090909,73.0,1,27.356742690968883
2024-10-17,9,36.11496,140531.75,50.0,15614.638888888889,71.0,2,2.569879048684728
2024-10-18,6,333.219141,120331.43000000001,100.0,20055.238333333335,73.0,1,27.69177936304754
2024-10-19,4,0.0,99996.86,,24999.215,72.0,1,0.0
2024-10-20,96,389.155797,176447.86000000002,100.0,1837.9985416666668,73.0,2,22.055002367271552
2024-10-21,173,2464.915564,324117.99,100.0,1873.5143930635838,72.0,2,76.04994600885931
2024-10-22,3,0.0,60000.36,,20000.12,70.0,1,0.0
2024-10-23,18,-46.489941,210006.07,0.0,11667.003888888888,71.0,1,-2.213742726579284
2024-10-25,30,13235.862071,427883.18,100.0,14262.772666666666,72.0,2,309.333544520259
2024-10-27,4,666.6623079999999,90664.41,100.0,22666.1025,74.0,1,73.53076118843104
2024-10-28,13,167.28016200000002,121495.25,100.0,9345.788461538461,72.0,2,13.76845284074892
2024-10-29,53,801.170876,613267.8099999999,100.0,11571.09075471698,72.0,2,13.063964273618081
2024-10-30,25,9.150023,11830.85,87.5,473.23400000000004,77.0,1,7.734036861256798
2024-10-31,48,1214.043811,896173.36,91.8918918918919,18670.278333333332,77.0,3,13.546975007157098
2024-11-01,23,1040.475736,260981.03,60.0,11347.001304347827,75.0,2,39.867868404075196
2024-11-02,2,0.0,40000.0,,20000.0,72.0,1,0.0
2024-11-03,6,0.0,129055.66,,21509.27666666667,74.0,2,0.0
2024-11-04,36,2799.410474,451811.97,100.0,12550.332499999999,70.0,2,61.95963497824106
